"field","value"
"manifest_version","1.1"
"run_id","PCEPI_20260722_010003_FULL_507"
"target_code","PCEPI"
"target_path_key","PCEPI"
"target_display_name","Personal Consumption Expenditures Price Index [PCEPI]"
"execution_profile","full"
"status","completed"
"validation_status","passed"
"publication_status","published_target"
"source","experiment_runner"
"project_root","."
"run_directory","results/frozen_runs/PCEPI/PCEPI_20260722_010003_FULL_507"
"result_directory","results/frozen_runs/PCEPI/PCEPI_20260722_010003_FULL_507/results"
"result_rds","not included in public package; regenerated by FULL workflow"
"data_file","data/current.csv"
"data_vintage","2026-07-16 17:05:56.695978"
"data_md5","8591dd9f169f7aeb45b7c91782fbd947"
"base_seed","20260716"
"forward_forecasts_enabled","TRUE"
"statistical_validation_enabled","TRUE"
"created_at","2026-07-22T01:00:04+0900"
"started_at","2026-07-22T01:00:04+0900"
"completed_at","2026-07-22T02:04:28+0900"
"failed_at",""
"elapsed_seconds","3864.54612493515"
"error_message",""
"validation_message","Required outputs, target/profile alignment, forecast status, statistical audit, and Boruta checks passed."
